Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
albatros,root,n,TRUE,albatross,,"albatroso, diomedeo","albatros, alcatraz, _Diomedeidae_",,,,,hewan,"Englisa (albatross), Espanisa (albatros), Fransesa (albatros), Rusisa (альбатрос “albatros”), Doycisa (Albatros), Indonesisa, Pilipinasa, Niponsa (アルバトロス “arubatorosu”), Telugusa (ఆల్బట్రాస్ “albatras”), Parsisa (آلباتروس “albatros”), Swahilisa (albatrosi)",,,
alegori,root,n,TRUE,allegory,,alegorio,alegoría,,,,,,"Englisa (allegory), Espanisa (alegoría), Fransesa (allégorie), Rusisa (аллегория ""allegoriya""), Doycisa (Allegorie), Indonesisa (alegori), Pilipinasa (alegoriya), Niponsa (アレゴリー ""aregori""), Turkisa (alegori), Hangusa (알레고리 ""allegori"")",,,
alergi,root,n,TRUE,allergy,,alergio,alergia,,,,,medis,"Englisa (allergy), Fransesa (allergie), Doycisa (Allergie), Rusisa (аллергия “alergiya”), Espanisa (alergia), Hindisa (एलर्जी “elarjī”), Turkisa (alerji), Indonesisa (alergi), Pilipinasa (alerdyi), Arabisa (أَرَجِيَّة “ʾarajiyya”), Parsisa (آلرژی “âlerži”), Niponsa (アレルギー “arerugī”), Hangusa (알레르기 “allereugi”)",,,
alergili,derived,t,TRUE,allergic (_caused by or relating to an allergy_),,alergia (_kaŭzita de aŭ rilata al alergio_); alergie,alérgico (_causado por o relacionado con una alergia_),,,,,,alergi + -li,,,
alergipul,derived,t,TRUE,allergic,,alergia (al),alérgico,,,,,,alergi + -pul,,,
alga,root,n,TRUE,"alga, algae",,algo(j),alga,,,,,,"Englisa (alga), Espanisa (alga), Fransesa (alg), Doycisa (Alge), Indonesisa (alga), Turkisa (alg), Parsisa (آلگ “alg”), Swahilisa (alga)",,,
algoritma,root,n,TRUE,algorithm,,algoritmo,algoritmo,,,,,,"Englisa (algorithm), Espanisa (algoritmo), Fransesa (algorithme), Rusisa (алгоритм “algoritm”), Doycisa (Algorithmus), Indonesisa (algoritme), Pilipinasa (algoritmo), Hindisa (अल्गोरिद्म “algoridma”), Arabisa (خُوَارِزْمِيَّة “huwarizmiya”), Niponsa (アルゴリズム “arugorizumu”), Telugusa (అల్గోరిథం “algoritam”), Hangusa (알고리즘 “algorijum”), Turkisa (algoritma), Parsisa (الگوریتم “algoritm”), Swahilisa (algorithimu)",,,
aligator,root,n,TRUE,alligator,,aligatoro,"aligátor, caimán, yacaré, _Alligator_",,,,,hewan,"Englisa (alligator), Espanisa (aligátor), Fransesa (alligator), Rusisa (аллигатор “aligator”), Doycisa (Alligator), Indonesisa (alligator), Pilipinasa (aligeytor), Arabisa (قَاطُور “katur”), Niponsa (アリゲーター “arigeta”), Tamilsa (அலிகேட்டர் “aliketar”), Turkisa (alligator), Hangusa (앨리게이터 “eligeito”), Swahilisa (aligatori, aligeita)",,,
alim,root,n/f.oro.a,TRUE,"instruction, teaching; teach, instruct",,instruo; instrui,"instrucción, enseñanza; enseñar, instruir",,,,,eskolya,"Arabisa (علم “alim”), Parsisa (معلم “moalem”), Hindisa (तालीम “talim”), Swahilisa (elimu, mwalimu), Turkisa (talimat)",,,
alimible,derived,t,TRUE,"teacheable, amenable to instruction",,instruebla; instrueble,enseñable,,,,,,alim + -ible,,,
alimli,derived,t,TRUE,instructional,,instrua; instrue,"instructivo, de instrucción, de enseñanza",,,,,,alim + -li,,,
alimlogi,derived,n,FALSE,pedagogy,,"pedagogio, instruscienco",pedagogía,,,,,eskolya,alim + -logi,,,
alimlogili,derived,t,FALSE,pedagogic,,"pedagogia, instruscienca; pedagogie, instruscience",pedagógico,,,,,,alim + -logi + -li,,,
alimne,derived,t,TRUE,instructive,,instruanta; instruante,enseñante,,,,,,alim + -ne,,,
alimxey,derived,n,TRUE,"teaching, teachings",,instruaĵo,enseñanza,,,,,eskolya,alim + -xey,,,
alimyen,derived,n,TRUE,"teacher, instructor",,instruanto,"maestro, instructor",,,,,eskolya,alim + -yen,,,
aljebra,root,n,TRUE,algebra,,algebro,álgebra,,,,,,"Englisa (algebra), Espanisa (álgebra), Fransesa (algèbre), Rusisa (алгебра), Doycisa (Algebra), Indonesisa (aljabar), Pilipinasa (alhebra), Arabisa (عِلْم الْجَبْر “ilm aljabr”, جَبْر “jabr”), Turkisa (cebir), Parsisa (جبر “jabr”), Swahilisa (aljebra)",,,
alkali,root,n,TRUE,alkali,,alkalo,álcali,,,,,,"Englisa (alkali), Espanisa (álcali), Fransesa (alcali), Doycisa (Alkali), Indonesisa (alkali), Pilipinasa (alkali), Arabisa (قَلَوِيّ “kalawiy”), Niponsa (アルカリ “arukari”), Turkisa (alkali), Hangusa (알칼리 “alkali”), Parsisa (قلیا “kaliya”), Swahilisa (alkali)",,,
alkimi,root,n,TRUE,alchemy,,"alĥemio, alkemio",alquimia,,,,,,"Doycisa (Alchemie), Englisa (alchemy), Espanisa (alquimia), Fransesa (alchimie), Rusisa (алхимия “alhimiya”), Hindisa (कीमिया “kimiya”), Arabisa (كيمياء “kimiya”), Parsisa (کیمیا “kimiya”), Indonesisa (alkimia), Pilipinasa (alkimiya), Turkisa (alşimi)",,,
alkoba,root,n,TRUE,"alcove, recess, niche",,"alkovo, niĉo","nicho, hueco, rincón, hornacina",,,,,,"Arabisa (القبة ""alkuba""), Doycisa (Alkoven), Englisa (alcove), Fransesa (alcôve), Rusisa (альков ""alkov""), Pilipinasa (alkoba), Niponsa (アルコーブ ""arukobu"")",,,
alkohol,root,n/f.oro.b,TRUE,alcohol; alcoholize,,alkoholo; alkoholi,"alcohol; alcoholizar, alcoholizarse",,,,,,"Arabisa (كحول “kahul”), Doycisa (Alkohol), Englisa (alcohol), Espanisa (alcohol), Fransesa (alcool), Rusisa (алкоголь “alkogol”), Niponsa (アルコール “arukōru”), Hangusa (알코올 “alkool”), Hindisa (ऐल्कोहॉल “elkohol”), Parsisa (الکل “alkol”), Turkisa (alkol), Indonesisa (alkohol), Pilipinasa (alkohol)",,,
alkoholdo,derived,t,FALSE,drunk,,ebria; ebrie,"alcoholizado, borracho",,,,,,alkohol + -do,,,
almari,root,n,TRUE,"cabinet, cupboard",,ŝranko,"gabinete, alacena, armario",,,,,,"Espanisa (armario), Indonesisa (lemari), Hindisa (अलमारी ""almari"")",,,
almasi,root,n,TRUE,diamond,,diamanto,diamante,,,,,petra,"Rusisa (алмаз “almaz”), Arabisa (ألماس “ʾalmās”), Swahilisa (almasi), Parsisa (الماس “almâs”), Turkisa (elmas)",,,
alo,root,t; d,TRUE,"other, another, different [see [Correlatives](https://xwexi.globasa.net/eng/gramati/tabellexi)]",,"alia, malsama, diferenca, ali-","otro, diferente",,,,,,"Englisa (allo-, alternative), Fransesa (allo-, alternatif), Doycisa (alternativ), Rusisa (альтернативный “alternativniy”), Espanisa (alo-, alternativo), Turkisa (alternatif), Indonesisa (altêrnatif), Pilipinasa (alternatibo)",,,
alo kom,phrase,jm.t,FALSE,"different from, differ from",,"malsama ol, alia ol; malsame ol","diferente a, diferir de",,,,,,"alo, kom",,,
alo- ,affix,lfik,TRUE,"other, different",,"ali-, malsam-","otro, diferente",,,,,,Am oko _alo_.,,,
alocu,derived,n/f.nenoj,TRUE,"change; change, become different, get changed",,"aliĝo, ŝanĝiĝo; aliĝi, ŝanĝiĝi",cambiar,,,,,,alo + -cu,,,
alodexa,derived,n,FALSE,"abroad, foreign country",,"alilando, fremdlando","extranjero, fuera",,,,,,alo + dexa,,,
alodexali,derived,t,FALSE,foreign,,"alilanda, eksterlanda, fremda; alilande, eksterlande, fremde",extranjero,,,,,,alo + dexa + -li,,,
aloe,root,n,TRUE,aloe (vera),,aloo (vera),"áloe, sábila, _Aloe_",,,,,planta,"Englisa (aloe), Espanisa, Fransesa (aloès), Rusisa (алоэ “aloe”), Doycisa (Aloe), Indonesisa (aloe), Hindisa (एलो “elo”, अलो “alo”), Niponsa アロエ (aroe), Hangusa (알로에 “aloe”), Parsisa (الوا / آلوا “alva”)",,,
aloete,derived,pn,FALSE,some other ones,,aliulo,otros,,,,,,alo + ete,,,
aloforma,derived,n/f.nenoj,FALSE,"transformation; transform, metamorphosis",,"aliformiĝo, metamorfozo; aliformiĝi, metamorfozi","transformación, metamorfósis; transformarse",,,,,,alo- + forma,,,
alogi,derived,n/f.oj,TRUE,"change; alter, (cause to) change, make different",,"aligo, ŝanĝo; aligi, ŝanĝi","cambio, alteración; cambiar, alterar",,,,,,alo + -gi,,,
aloijen,derived,n/f.oro.a,FALSE,disagreement; disagree,,"malsamopinio, malkonsento; malsamopinii, malkonsenti","desacuerdo, discrepancia, disentimiento; diferir, disentir, discrepar, no estar de acuerdo",,,,,,alo + ijen,,,
alojensifil,derived,t,FALSE,heterosexual,,aliseksema; alisekseme,heterosexual,,,,,,alo- + jensi + -fil,,,
alokrasi,derived,n,FALSE,revolution (_regime change_),,revolucio (_rega ŝanĝo_),revolución (_cambio de régimen_),,,,,politi,alo + -krasi,,,
alokwanti ,derived,t,FALSE,"a different
quantity of, a different amount of",,"alia kvanto da, alia kiomo da",una cantidad diferente (de),,,,,,alo + kwanti,,,
aloloka,derived,m,FALSE,"elsewhere, somewhere else",,aliloke,en otro lugar,,,,,,alo + loka,,,
alomaner,derived,m,FALSE,"by another manner, by a different manner, in another manner, in a different manner",,alimaniere,de otra manera,,,,,,alo + maner,,,
alomo,derived,m,TRUE,to a different degree,,aligrade,a un grado diferente,,,,,,alo + -mo,,,
alonumer ,derived,d,FALSE,a different number of,,alinombro,otro número (de),,,,,,alo + numer,,,
aloopsyon,derived,n,FALSE,alternative,,alternativo,"alternativa, otra opción",,,,,,alo- + opsyon,,,
alooto,derived,pn,FALSE,some other things,,alioj,otras cosas,,,,,,alo + oto,,,
alopul,derived,t,TRUE,"a different kind of, (in) another way, (in) a different way",,"alispeca, alimaniera; alispece, alimaniere","de otra manera, de otro modo",,,,,,alo + -pul,,,
alopul kom,derived,l,FALSE,unlike ,,"malkiel, diference de, nesame de",diferente de,,,,,,"alo + -pul, kom",,,
aloseba,derived,m,FALSE,"for another reason, for a different reason",,"pro alia kialo, pro alia kaŭzo",por otra razón,,,,,,alo + seba,,,
alosu,derived,t,FALSE,"somebody else's, someone else's",,"de iu alia, alies",de otro,,,,,,alo + -su,,,
alote,derived,pn,FALSE,"somebody else, someone else","else, somebody else, someone else",iu alia,"alguien más, otro ser vivo",,,,,,alo + te,,,
aloto,derived,pn,FALSE,"something else, another thing, a different thing","else, something else, another thing, a different thing",io alia,"algo más, otra cosa",,,,,,alo + to,,,
alowatu,derived,m,FALSE,"at a different time, at another time",,alitempe,en otro momento,,,,,,alo + watu,,,
aloy,root,n,TRUE,alloy,,alojo,aleación; alear,,,,,,"Englisa (alloy), Indonesisa (aloi), Swahilisa (aloi), Espanisa (aleacíon), Fransesa (alliage), Turkisa (alaşım), Parsisa (آلیاژ “alyaj”)",,,
aloya,derived,n/f.nenoj,FALSE,"difference; differ, vary",,"diferenco, malsameco; diferenci, malsami","diferencia, distinción; diferir, diferenciarse",,,,,,alo + -ya,,,
aloyagi,derived,n/f.oro.a,FALSE,"distinction, differentiation; differentiate, distinguish",,distingo; distingi,"distinción, diferenciación; distinguir, diferenciar",,,,,,alo + -ya + -gi,,,
aloyagiible,derived,t,FALSE,distinguishable,,distingebla; distingeble,"distinguible, diferenciable",,,,,,alo + -ya + -gi + -ible,,,
alpaka,root,n,TRUE,"alpaca, _Lama pacos_",,alpako,"alpaca, _Lama pacos_",,,,,hewan,"Englisa (alpaca), Espanisa, Fransesa (alpaga), Rusisa (альпака “alpaka”), Doycisa (Alpaka), Indonesisa, Pilipinasa, Hindisa (अलपाका “alpaka”), Arabisa (أَلْبَكَة “albaka”), Niponsa (アルパカ “arupaka”), Turkisa (alpaka), Hangusa (알파카 “alpaka”), Vyetnamsa (alpaca), Parsisa (آلپاکا “alpaka”), Swahilisa (alpaka)",,,
alucina,root,n/f.oro.a,TRUE,hallucination; hallucinate,,halucino; halucini,alucinación; alucinar,,,,,,"Englisa (hallucination, hallucinate), Espanisa (alucinación, alucinar), Fransesa (hallucination, halluciner), Rusisa (галлюцинация “galyutsinatsiya”), Doycisa (Halluzination, halluzinieren), Indonesisa (halusinasi), Pilipinasa (halusinasyon), Turkisa (halüsinasyon)",,,
alucinagiente,derived,n,FALSE,hallucinogen,,"halucinogeno, halucinanto, halucinaĵo",alucinógeno,,,,,,alucina + -gi + -ente,,,
aluminyum,root,n,TRUE,"aluminum, aluminium",,aluminio,"aluminio, Al",,,,,kimikali monlari,"Englisa (aluminium, aluminum), Espanisa (aluminio), Fransesa (aluminium), Rusisa (алюминий “aljumíni”), Doycisa (Aluminium), Hindisa (एल्युमिनियम “elyuminiyam”), Arabisa (أَلُومِنْيُوم “aluminyum”), Indonesisa (aluminium), Niponsa (アルミニウム “aruminiumu”), Telugusa (అల్యూమినియం “alyuminyam”), Turkisa (alüminyum), Hangusa (알루미늄 “aluminyum”), Parsisa (آلومینیم “âluminiyom”), Swahilisa (alumini), Pilipinasa (aluminyo, aluminum)",,,
am,root,par,TRUE,_imperative verb marker_,,"-u, _markilo de imperativa verbo_",_marcador del verbo imperativo_,,,,,,Am oko _amiru_.,,,
Amara,proper noun,n,TRUE,Amhara region,,Amhara Regiono,Amhara (_estado regional de Etiopía_),,,,,geografi,Amarasa (አማራ “Āmara”),,,
Amarali,derived,t,FALSE,Amharan,,amhara,amhárico,,,,,,Amara + -li,,,
Amarasa,derived,n,FALSE,Amharic (language),,la amhara (lingvo),amhárico (_idioma_),,,,,basa,Amara + -sa,,,
Amarayen,derived,n,FALSE,Amharan (person),,"amharo (persono), amharano",amhara (_persona_),,,,,,Amara + -yen,,,
amaro,root,t,TRUE,bitter (_taste_),,amara; amare,amargo,,,,,,"Espanisa (amargo), Fransesa (amer), Italisa (amaro), Arabisa (مَرَّ “marra”)",,,
amber,root,n,TRUE,ambergris,,ambro,"ámbar gris, ámbar pardillo",,,,,,"Englisa (ambergris), Espanisa (ámbar gris), Fransesa (ambre gris), Rusisa (амбра “ambra”), Doycisa (Ambra, Amber), Indonesisa (ambergris), Arabisa (عَنْبَر “anbar”), Niponisa (アンバーグリス “ambagurisu”), Telugusa (అంబరు “ambaru”), Turkisa (amber), Parsisa (عنبر “anbar”), Swahilisa (ambari)",,,
ambisi,root,n/f.oj,TRUE,ambition; aspire (to),,"ambicio, aspiro; ambicii, aspiri",ambición; aspirar a,,,,,,"Englisa (ambition), Fransesa, Espanisa (ambición), Rusisa (амбиция “ambicija”), Indonesisa (ambisi), Magyarsa (ambíció)",,,
ameba,root,n,TRUE,amoeba,,amebo,"ameba, amiba",,,,,bio,"Doycisa (Amöbe), Englisa (amoeba), Espanisa (ameba), Fransesa (amibe), Rusisa (амёба “amyoba”), Putunhwa (阿米巴 “āmǐbā”), Niponsa (アメーバ “amēba”), Hangusa (아메바 “ameba”), Vyetnamsa (amip), Hindisa (अमीबा “amībā”), Arabisa (أَمِيبَا “ʾamībā”), Swahilisa (amiba), Parsisa (امیب “amib”), Turkisa (amip), Indonesisa (ameba, amuba, amoeba), Pilipinasa (amoeba, ameba)",,,
amen,root,il,TRUE,amen,,amen,amén,,,,,dini,"Ivrisa (אָמֵן‎ “ʾāmēn”), Englisa (amen), Fransesa (amen), Doycisa (amen), Rusisa (аминь “amin”), Espanisa (amén), Hindisa (आमेन “āmen”, आमीन “āmīn”), Putunhwa (阿门 “āmén”), Niponsa (アーメン “āmen”), Hangusa (아멘 “amen”), Arabisa (آمْيْن‎ “ʾāmyn”), Parsisa (آمین “âmin”), Indonesisa (amin), Turkisa (amin), Pilipinasa (amen)",,,
Amerika,proper noun,n,TRUE,America,,Ameriko,América,,,,,"geografi, daygeo","Englisa (America), Fransesa (Amérique), Doycisa (Amerika), Rusisa (Америка “Amerika”), Espanisa (América), Arabisa (أَمْرِيكَا “amrika”), Parsisa (آمریکا “âmrikâ”), Hindisa (अमेरिका “amerikā”), Telugusa (అమెరికా “amerika”), Turkisa (Amerika), Swahilisa (Amerika), Indonesisa (Amerika), Pilipinasa (Amerika), Niponsa (アメリカ州 “Amerika xu”), Hangusa (아메리카 “Amerika”), Putunhwa (亞美利加 “yameylijya”)",,,
Amerikali,derived,t,FALSE,"North-American, South-American, American (_of or relating to the Americas_) ",,Amerika (_pri Amerikoj_); Amerike,americano (_relacionado con las Américas_),,,,,,Amerika + -li,,,
Amerikayen,derived,n,FALSE,"North American, South American",,Amerikano (_ne Usonano_),americano (_persona_),,,,,,Amerika + -yen,,,
amerikyum,root,n,TRUE,americium,,americio,"americio, Am",,,,,kimikali monlari,"Englisa (americium), Espanisa (americio), Fransesa (américium), Rusisa (америций “ameristi”), Doycisa (Americium), Indonesisa (amerisium), Pilipinasa (amerisyo), Hindisa (अमेरिशियम “amerixiyam”), Arabisa (أَمْرِيكِيُوم  “amrikiyum”), アメリシウム (amerixiumu), Telugusa (అమెరీషియం “amerixiyam”), Turkisa (amerikyum), Hangusa (아메리슘 “amerixum”), Vyetnamsa (americi), Parsisa (آمریکیوم “âmerikiyom”), Swahilisa (ameriki), Pilipinasa (amerisyo)",,,
ametisto,root,n,TRUE,amethyst,,ametisto,amatista,,,,,petra,"Englisa (amethyst), Espanisa (amatista), Fransesa (améthyste), Rusisa (аметист “ametist”), Doycisa (Amethyst), Indonesisa (ametis), Pilipinasa (amatista), Hindisa (अमेथिस्ट “amethist”, एमिथिस्ट “emithist”), Niponsa (アメシスト “amexisuto”), Telugusa (అమెథిస్ట్ “ametist”), Vyetnamsa (ametit), Swahilisa (amethisto)",,,
amiku,root,t,TRUE,"deep, deeply, profound, profoundly",,profunda; profunde,"hondo, profundo",,,posamiku,,,"Arabisa (عميق “ʿamīq”), Parsisa (عمیق‎ “ʿamiq”)",,,
amikucu,derived,n/f.nenoj,FALSE,"deepen, become deep, become deeper",,profundiĝo; profundiĝi,"profundizarse, ahondarse, hacerse más profundo",,,,,,amiku + -cu,,,
amikugi,derived,n/f.oj,FALSE,"deepen, make deep, make deeper",,profundigo; profundigi,"profundizar, ahondar, hacer más profundo",,,,,,amiku + -gi,,,
amikuje,derived,n,FALSE,depth,,profundeco,profundidad,,,,,,amiku + -je,,,
amino,root,n,TRUE,"amino, amine",,amino,"amino, amina",,,,,,"Englisa (amino), Indonesisa, Pilipinasa, Swahilisa, Espanisa (amino-), Doycisa, Turkisa, Fransesa (aminé), Rusisa (амино- “amino-”), Hindisa (अमीनो “amino”), Arabisa (أميني “amini”), Niponsa (アミノ “amino”), Telugusa (ఎమైనో “emeno”), Hangusa (아미노 “amino”), Vyetnamsa (amino, amin), Parsisa (آمینه, -آمین)",,,
amiru,root,n/f.oro.a,TRUE,"commandment; command, order",,"komando, ordono; komandi, ordoni","orden, mando, mandamiento; mandar, ordenar, controlar",,,,,,"Arabisa (أمر “amr”), Turkisa (emir), Swahilisa (amri, -amuru)",,,
amirufil,derived,t,FALSE,"commanding, bossy, authorative",,"postulema, ordonema; postuleme, ordoneme",mandón,,,,,,amiru + -fil,,,
amiruli,derived,t,FALSE,imperative,,"postula, imperativa, ordona; postule, imperative, ordone",imperativo,,,,,,amiru + -li,,,
amirupel,derived,n/f.oj,FALSE,control,,,control,,,,,,amiru + -pel,,,
amonyako,root,n,TRUE,ammonia,,amoniako,amoníaco,,,,,,"Englisa (ammonia), Espanisa (amoníaco), Fransesa (ammoniac), Rusisa (аммиак “amyak”), Doycisa (Ammoniak), Indonesisa (amonia), Swahilisa (amonia), Pilipinasa (amonya), Putunhwa (阿摩尼亚 “amoniya”), Hindisa (अमोनिया “amoniya”), Arabisa (أمونيا “amunya”), Niponsa (アンモニア “anmonia”), Telugusa (మ్మోనియా “amoniya”), Turkisa (amonyak), Hanugsa (암모니아 “ammonia”), Vyetnamsa (amoniac), Parsisa (آمونیاک‎ “amuniyak”), ",,,
amperi,root,n,TRUE,"ampere, amp",,ampero,"_ampere_, amperio, A",Ampere,,,,meterya,"Englisa (ampere), Espanisa (amperio), Fransesa (ampère), Rusisa (ампер “amper”), Doycisa (Ampere), Indonesisa (ampere), Pilipinasa (amperyo), Putunhwa (安培 “anpey”), Putunhwa (安培 “anpey”), Arabisa (أَمْبِير “ambir”), Niponsa (アンペア “anpea”), Telugusa (ఆంపియర్ “ampiyar”), Turkisa (amper), Hangusa (암페어 “ampe-o”), Vyetnamsa (ampe), Parsisa (آمپر “amper”), Swahilisa (ampea)",ampère,ампер,安培
ampula,root,n,TRUE,"ampoule, ampule, ampul",,ampolo,ampolla,Ampulle,,,,,"Englisa (ampoule), Espanisa (ampolla), Fransesa (ampoule), Rusisa (ампула “ampula”), Doycisa (Ampulle), Indonesisa (ampul), Putunhwa (安瓿 “anbu”), Hindisa (एम्प्यूल “empyul”), Arabisa (أَمْبُولَة “ambula”), Niponsa (アンプル “ampuru”), Turkisa (ampul), Hangusa (앰풀 “empul”), Vyetnamsa (ămpun), Parsisa (آمپول “ampul”)",,,
